Accipiter badius
Lanius schach
Spilornis cheela
Aquila nipalensis
Anthus rufulus
Pernis ptilorhyncus
Cinnyris asiaticus
Himantopus himantopus
Nisaetus cirrhatus
Ploceus philippinus
Saxicola caprata
Limosa limosa
Motacilla alba
Coracias benghalensis
Motacilla flava
Passer domesticus
Saxicola maurus
Vanellus indicus
Merops orientalis
Circus pygargus
Prinia inornata
Zosterops palpebrosus
Falco peregrinus
Falco tinnunculus
Grus antigone
Pycnonotus cafer
Dicrurus macrocercus
Charadrius dubius
Milvus migrans
Lanius cristatus
Chlidonias hybrida
Terpsiphone paradisi
Philomachus pugnax
Phoenicurus ochruros
Cecropis daurica
Parus major
Oenanthe picata
Copsychus saularis
Anas clypeata
Vanellus malabaricus
Tachybaptus ruficollis
Ardeola grayii
Pterocles exustus
Charadrius mongolus
Halcyon smyrnensis
Centropus sinensis
Mycteria leucocephala
Anastomus oscitans
Corvus macrorhynchos
Dinopium benghalense
Anas acuta
Sterna aurantia
Aquila rapax
Luscinia svecica
Eremopterix griseus
Clanga clanga
Hydrophasianus chirurgus
Microcarbo niger
Threskiornis melanocephalus
Neophron percnopterus
Orthotomus sutorius
Lonchura punctulata
Egretta gularis
Alcedo atthis
Psittacula krameri
Cinnyris jugularis
Upupa epops
